candidate	count	files	forms	first_source
role	8	4	"{""role"": 7, ""roles"": 1}"	epub/ch01.md:25
concept	8	5	"{""concepts"": 8}"	epub/ch01.md:43
best design	8	6	"{""best design"": 7, ""best designs"": 1}"	epub/ch01.md:43
fact	8	6	"{""fact"": 8}"	epub/ch02.md:25
thousand	8	6	"{""thousands"": 7, ""thousand"": 1}"	epub/ch02.md:43
risk	8	6	"{""risk"": 6, ""risks"": 2}"	epub/ch02.md:46
responsibility	8	2	"{""responsibility"": 5, ""responsibilities"": 3}"	epub/ch02.md:46
apis	8	5	"{""APIs"": 8}"	epub/ch02.md:46
global variable	8	2	"{""global variables"": 5, ""global variable"": 3}"	epub/ch02.md:46
unknown unknown	8	4	"{""unknown unknowns"": 8}"	epub/ch02.md:58
design process	8	4	"{""design process"": 7, ""Design Process"": 1}"	epub/ch02.md:73
cause	8	6	"{""cause"": 5, ""causes"": 3}"	epub/ch02.md:79
difference	8	6	"{""difference"": 8}"	epub/ch02.md:94
code base	8	2	"{""code base"": 8}"	epub/ch02.md:100
good software	8	4	"{""good software"": 6, ""better software"": 2}"	epub/ch03.md:10
month	8	4	"{""months"": 7, ""month"": 1}"	epub/ch03.md:25
investment mindset	8	7	"{""investment mindset"": 8}"	epub/ch03.md:40
facebook	8	1	"{""Facebook"": 8}"	epub/ch03.md:79
fun	8	4	"{""fun"": 8}"	epub/ch03.md:91
ideal	8	3	"{""ideal"": 8}"	epub/ch04.md:16
programming language	8	4	"{""programming language"": 6, ""programming languages"": 2}"	epub/ch04.md:25
module's interface	8	4	"{""module's interface"": 8}"	epub/ch04.md:28
constraint	8	6	"{""constraints"": 7, ""constraint"": 1}"	epub/ch04.md:37
usage	8	7	"{""usage"": 7, ""usages"": 1}"	epub/ch04.md:37
socket	8	6	"{""socket"": 6, ""sockets"": 2}"	epub/ch05.md:88
support	8	5	"{""support"": 7, ""supports"": 1}"	epub/ch05.md:145
communication	8	6	"{""Communications"": 1, ""communication"": 7}"	epub/ch05.md:181
window	8	4	"{""windows"": 1, ""window"": 3, ""Window"": 1, ""Windows"": 3}"	epub/ch06.md:34
redo	8	1	"{""redo"": 8}"	epub/ch06.md:34
user interface code	8	2	"{""user interface code"": 8}"	epub/ch06.md:55
interface code	8	2	"{""interface code"": 8}"	epub/ch06.md:55
following code	8	5	"{""following code"": 8}"	epub/ch06.md:79
operating system	8	4	"{""operating system"": 7, ""Operating System"": 1}"	epub/ch06.md:136
insertion cursor	8	2	"{""insertion cursor"": 8}"	epub/ch06.md:142
pas	8	5	"{""pass"": 8}"	epub/ch07.md:94
hash	8	3	"{""hash"": 6, ""hashes"": 2}"	epub/ch09.md:31
exception handler	8	1	"{""exception handlers"": 1, ""exception handler"": 7}"	epub/ch10.md:151
server crash	8	2	"{""server crashes"": 6, ""server crash"": 2}"	epub/ch10.md:196
aggregation	8	1	"{""aggregation"": 8}"	epub/ch10.md:211
error response	8	1	"{""error response"": 6, ""error responses"": 2}"	epub/ch10.md:217
invariant	8	3	"{""invariants"": 2, ""Invariants"": 2, ""invariant"": 4}"	epub/ch13.md:190
implementation inheritance	8	1	"{""implementation inheritance"": 8}"	epub/ch19.md:22
computer	7	3	"{""computers"": 1, ""computer"": 3, ""Computer"": 3}"	epub/preface.md:4
design skill	7	5	"{""design skill"": 3, ""design skills"": 4}"	epub/preface.md:10
field	7	3	"{""fields"": 2, ""field"": 5}"	epub/preface.md:10
ability	7	5	"{""ability"": 7}"	epub/preface.md:10
only way	7	5	"{""only way"": 7}"	epub/preface.md:13
i'm	7	3	"{""I'm"": 7}"	epub/preface.md:25
suggestion	7	3	"{""suggestions"": 6, ""suggestion"": 1}"	epub/preface.md:25
history	7	3	"{""history"": 7}"	epub/ch01.md:10
initial design	7	3	"{""initial design"": 7}"	epub/ch01.md:28
opportunity	7	6	"{""opportunities"": 5, ""opportunity"": 2}"	epub/ch01.md:37
low level	7	5	"{""lower level"": 3, ""low level"": 4}"	epub/ch02.md:7
banner	7	1	"{""banner"": 7}"	epub/ch02.md:43
more time	7	5	"{""more time"": 7}"	epub/ch02.md:46
framework	7	4	"{""frameworks"": 1, ""framework"": 6}"	epub/ch02.md:49
emphasis	7	2	"{""emphasis"": 7}"	epub/ch02.md:52
useful information	7	5	"{""useful information"": 7}"	epub/ch02.md:79
hundred	7	7	"{""hundreds"": 7}"	epub/ch02.md:91
organization	7	3	"{""organizations"": 4, ""organization"": 3}"	epub/ch03.md:10
clean design	7	5	"{""clean designs"": 2, ""clean design"": 5}"	epub/ch03.md:10
tactical tornado	7	1	"{""tactical tornado"": 5, ""tactical tornadoes"": 2}"	epub/ch03.md:31
tornado	7	1	"{""tornado"": 5, ""tornadoes"": 2}"	epub/ch03.md:31
environment	7	6	"{""environments"": 2, ""environment"": 5}"	epub/ch03.md:70
side	7	2	"{""side"": 6, ""sides"": 1}"	epub/ch03.md:79
other method	7	6	"{""other method"": 2, ""other methods"": 5}"	epub/ch04.md:16
everything	7	4	"{""everything"": 7}"	epub/ch04.md:19
tree	7	3	"{""trees"": 1, ""tree"": 6}"	epub/ch04.md:22
deep module	7	2	"{""deep module"": 2, ""Deep modules"": 1, ""deep modules"": 4}"	epub/ch04.md:67
integer	7	5	"{""integer"": 4, ""integers"": 3}"	epub/ch04.md:91
leverage	7	4	"{""leverage"": 7}"	epub/ch04.md:130
shallow method	7	5	"{""shallow method"": 1, ""shallow methods"": 6}"	epub/ch04.md:133
overall system	7	5	"{""overall system"": 7}"	epub/ch04.md:157
common case	7	3	"{""common case"": 7}"	epub/ch04.md:190
constructor	7	3	"{""constructor"": 6, ""constructors"": 1}"	epub/ch04.md:190
TCP	7	3	"{""TCP"": 7}"	epub/ch05.md:25
HTTP protocol	7	2	"{""HTTP protocol"": 7}"	epub/ch05.md:76
student project	7	5	"{""student projects"": 5, ""student project"": 2}"	epub/ch05.md:112
location	7	5	"{""locations"": 2, ""location"": 5}"	epub/ch05.md:112
special-purpose code	7	3	"{""special-purpose code"": 6, ""Special-purpose code"": 1}"	epub/ch06.md:13
general-purpose interface	7	3	"{""general-purpose interfaces"": 1, ""general-purpose interface"": 6}"	epub/ch06.md:25
undo	7	1	"{""undo"": 7}"	epub/ch06.md:34
backspace key	7	3	"{""backspace key"": 7}"	epub/ch06.md:40
cursor position	7	2	"{""cursor position"": 7}"	epub/ch06.md:49
different kind	7	5	"{""different kinds"": 4, ""different kind"": 3}"	epub/ch06.md:136
d	7	2	"{""d"": 7}"	epub/ch07.md:106
dispatcher	7	2	"{""dispatcher"": 7}"	epub/ch07.md:118
duplication	7	4	"{""duplication"": 7}"	epub/ch07.md:133
small amount	7	3	"{""small amount"": 5, ""smallest amount"": 2}"	epub/ch07.md:136
excuse	7	3	"{""excuse"": 3, ""excuses"": 4}"	epub/ch08.md:34
harder	7	4	"{""harder"": 7}"	epub/ch09.md:13
split	7	1	"{""Split"": 1, ""split"": 5, ""Splits"": 1}"	epub/ch09.md:211
child	7	2	"{""child"": 7}"	epub/ch09.md:226
exception handling	7	1	"{""Exception handling"": 1, ""exception handling"": 6}"	epub/ch10.md:7
error message	7	1	"{""error message"": 7}"	epub/ch10.md:226
implementation detail	7	3	"{""implementation details"": 6, ""implementation detail"": 1}"	epub/ch12.md:43
getters	7	2	"{""getters"": 5, ""Getters"": 2}"	epub/ch13.md:40
block number	7	1	"{""block number"": 6, ""block numbers"": 1}"	epub/ch14.md:16
event	7	1	"{""events"": 3, ""event"": 4}"	epub/ch18.md:202
container	7	1	"{""containers"": 4, ""container"": 3}"	epub/ch18.md:241
internal chunk	7	1	"{""Internal chunks"": 2, ""internal chunks"": 1, ""internal chunk"": 4}"	epub/ch20.md:85
object-oriented programming	6	3	"{""object-oriented programming"": 5, ""Object-oriented programming"": 1}"	epub/preface.md:4
day	6	6	"{""day"": 1, ""days"": 5}"	epub/preface.md:7
advantage	6	6	"{""advantage"": 5, ""advantages"": 1}"	epub/preface.md:10
many people	6	5	"{""Many people"": 3, ""many people"": 3}"	epub/preface.md:10
review	6	5	"{""reviews"": 5, ""review"": 1}"	epub/preface.md:13
design problem	6	4	"{""design problems"": 4, ""design problem"": 2}"	epub/preface.md:13
answer	6	5	"{""answers"": 3, ""answer"": 3}"	epub/preface.md:19
infrastructure	6	5	"{""infrastructure"": 6}"	epub/preface.md:19
design technique	6	6	"{""design techniques"": 6}"	epub/preface.md:19
software complexity	6	5	"{""software complexity"": 6}"	epub/preface.md:25
group	6	3	"{""Group"": 2, ""groups"": 1, ""group"": 3}"	epub/preface.md:34
simple design	6	5	"{""simpler designs"": 2, ""simple design"": 3, ""simple designs"": 1}"	epub/ch01.md:16
requirement	6	5	"{""requirements"": 5, ""requirement"": 1}"	epub/ch01.md:25
iteration	6	4	"{""iteration"": 5, ""iterations"": 1}"	epub/ch01.md:31
contrast	6	6	"{""contrast"": 6}"	epub/ch01.md:34
design issue	6	4	"{""design issues"": 4, ""design issue"": 2}"	epub/ch01.md:37
more detail	6	4	"{""more detail"": 5, ""more details"": 1}"	epub/ch01.md:64
first step	6	4	"{""first step"": 6}"	epub/ch02.md:7
simplicity	6	2	"{""simplicity"": 6}"	epub/ch02.md:10
overall complexity	6	5	"{""overall complexity"": 6}"	epub/ch02.md:28
amplification	6	3	"{""amplification"": 6}"	epub/ch02.md:43
high cognitive load	6	2	"{""higher cognitive load"": 1, ""high cognitive load"": 5}"	epub/ch02.md:46
inconsistency	6	4	"{""inconsistencies"": 3, ""Inconsistency"": 1, ""inconsistency"": 2}"	epub/ch02.md:46
few line	6	4	"{""few lines"": 6}"	epub/ch02.md:49
web page	6	4	"{""Web pages"": 3, ""Web page"": 3}"	epub/ch02.md:55
e	6	6	"{""e"": 6}"	epub/ch02.md:79
status	6	3	"{""status"": 6}"	epub/ch02.md:79
good software design	6	4	"{""good software design"": 4, ""better software design"": 1, ""better software designs"": 1}"	epub/ch03.md:10
previous chapter	6	5	"{""previous chapter"": 1, ""previous chapters"": 4, ""Previous chapters"": 1}"	epub/ch03.md:22
everyone	6	6	"{""everyone"": 6}"	epub/ch03.md:22
development time	6	3	"{""development time"": 6}"	epub/ch03.md:52
good chance	6	4	"{""good chance"": 6}"	epub/ch03.md:73
chance	6	4	"{""chance"": 6}"	epub/ch03.md:73
production	6	5	"{""production"": 5, ""Production"": 1}"	epub/ch03.md:79
class's interface	6	5	"{""class's interface"": 6}"	epub/ch04.md:37
description	6	3	"{""description"": 5, ""descriptions"": 1}"	epub/ch04.md:37
storage device	6	3	"{""storage device"": 3, ""storage devices"": 3}"	epub/ch04.md:55
secondary storage	6	4	"{""secondary storage"": 6}"	epub/ch04.md:55
shallow module	6	3	"{""shallow modules"": 2, ""shallow module"": 3, ""Shallow Module"": 1}"	epub/ch04.md:61
complex interface	6	6	"{""complex interface"": 4, ""complex interfaces"": 2}"	epub/ch04.md:61
depth	6	4	"{""depth"": 5, ""Depth"": 1}"	epub/ch04.md:67
area	6	4	"{""area"": 3, ""areas"": 3}"	epub/ch04.md:67
system complexity	6	4	"{""system complexity"": 6}"	epub/ch04.md:70
policy	6	3	"{""policies"": 1, ""policy"": 5}"	epub/ch04.md:109
shallow class	6	5	"{""Shallow classes"": 3, ""shallow classes"": 3}"	epub/ch04.md:130
use case	6	4	"{""use cases"": 2, ""use case"": 4}"	epub/ch04.md:199
higher-level code	6	4	"{""higher-level code"": 6}"	epub/ch05.md:37
deeper	6	4	"{""deeper"": 6}"	epub/ch05.md:40
capability	6	4	"{""capability"": 3, ""capabilities"": 3}"	epub/ch05.md:100
representation	6	3	"{""representation"": 5, ""representations"": 1}"	epub/ch05.md:127
general-purpose code	6	1	"{""general-purpose code"": 6}"	epub/ch06.md:13
single place	6	4	"{""single place"": 6}"	epub/ch06.md:55
particular use	6	4	"{""particular use"": 6}"	epub/ch06.md:121
single character	6	4	"{""single character"": 5, ""single characters"": 1}"	epub/ch06.md:124
device driver	6	3	"{""device drivers"": 4, ""device driver"": 2}"	epub/ch06.md:136
refers	6	3	"{""refers"": 6}"	epub/ch06.md:214
confusion	6	4	"{""confusion"": 6}"	epub/ch07.md:103
several method	6	4	"{""several methods"": 5, ""several method"": 1}"	epub/ch07.md:127
date	6	4	"{""date"": 6}"	epub/ch08.md:34
hash table	6	2	"{""hash table"": 4, ""hash tables"": 2}"	epub/ch09.md:31
snippet	6	1	"{""snippets"": 1, ""snippet"": 5}"	epub/ch09.md:61
network packet	6	3	"{""network packets"": 3, ""network packet"": 3}"	epub/ch09.md:79
different way	6	4	"{""different ways"": 4, ""different way"": 2}"	epub/ch10.md:16
ramcloud storage	6	3	"{""RAMCloud storage"": 6}"	epub/ch10.md:241
ramcloud storage system	6	3	"{""RAMCloud storage system"": 6}"	epub/ch10.md:241
s	6	4	"{""s"": 6}"	epub/ch11.md:31
code change	6	4	"{""code changes"": 5, ""code change"": 1}"	epub/ch12.md:61
clue	6	4	"{""clues"": 3, ""clue"": 3}"	epub/ch13.md:424
interface documentation	6	3	"{""interface documentation"": 6}"	epub/ch13.md:736
refactoring	6	2	"{""refactoring"": 6}"	epub/ch16.md:22
buffer class	6	1	"{""Buffer class"": 6}"	epub/ch20.md:79
science	5	2	"{""science"": 1, ""Science"": 4}"	epub/preface.md:7
university	5	2	"{""university"": 1, ""University"": 4}"	epub/preface.md:7
topic	5	5	"{""topic"": 5}"	epub/preface.md:7
practice	5	4	"{""practice"": 5}"	epub/preface.md:10
code review	5	4	"{""code reviews"": 5}"	epub/preface.md:13
design principle	5	3	"{""design principles"": 4, ""design principle"": 1}"	epub/preface.md:13
i've	5	1	"{""I've"": 5}"	epub/preface.md:19
other people	5	4	"{""other people"": 5}"	epub/preface.md:19
opinion	5	4	"{""opinion"": 5}"	epub/preface.md:25
instruction	5	2	"{""instructions"": 1, ""instruction"": 4}"	epub/preface.md:37
world	5	3	"{""worlds"": 1, ""world"": 4}"	epub/ch01.md:10
extreme	5	4	"{""extreme"": 4, ""extremes"": 1}"	epub/ch01.md:25
waterfall	5	2	"{""waterfall"": 5}"	epub/ch01.md:25
many case	5	5	"{""many cases"": 5}"	epub/ch01.md:25
large software	5	5	"{""large software"": 5}"	epub/ch01.md:28
design change	5	3	"{""design changes"": 4, ""design change"": 1}"	epub/ch01.md:28
important element	5	5	"{""important element"": 1, ""important elements"": 4}"	epub/ch01.md:40
other developer	5	5	"{""other developers"": 5}"	epub/ch02.md:34
job	5	4	"{""job"": 5}"	epub/ch02.md:34
symptom	5	2	"{""symptom"": 3, ""symptoms"": 2}"	epub/ch02.md:43
code modification	5	2	"{""code modifications"": 5}"	epub/ch02.md:43
different place	5	4	"{""different places"": 3, ""different place"": 2}"	epub/ch02.md:43
central place	5	2	"{""central place"": 5}"	epub/ch02.md:43
pointer	5	5	"{""pointer"": 4, ""pointers"": 1}"	epub/ch02.md:46
isolation	5	4	"{""isolation"": 5}"	epub/ch02.md:70
compiler	5	4	"{""compilers"": 2, ""compiler"": 3}"	epub/ch02.md:76
g	5	5	"{""g"": 5}"	epub/ch02.md:79
bug fix	5	4	"{""bug fix"": 3, ""bug fixes"": 2}"	epub/ch03.md:16
software designer	5	4	"{""software designer"": 4, ""software designers"": 1}"	epub/ch03.md:37
strategic programming	5	2	"{""strategic programming"": 4, ""Strategic programming"": 1}"	epub/ch03.md:37
best approach	5	5	"{""best approach"": 5}"	epub/ch03.md:52
startup	5	1	"{""startups"": 4, ""startup"": 1}"	epub/ch03.md:70
cleanup	5	3	"{""cleanup"": 4, ""cleanups"": 1}"	epub/ch03.md:70
culture	5	3	"{""culture"": 4, ""cultures"": 1}"	epub/ch03.md:82
easy	5	5	"{""easy"": 5}"	epub/ch03.md:100
kernel	5	3	"{""kernel"": 5}"	epub/ch04.md:25
best module	5	1	"{""best modules"": 5}"	epub/ch04.md:28
simplified view	5	3	"{""simplified view"": 5}"	epub/ch04.md:46
standpoint	5	4	"{""standpoint"": 5}"	epub/ch04.md:49
garbage	5	2	"{""garbage"": 5}"	epub/ch04.md:121
go	5	3	"{""Go"": 5}"	epub/ch04.md:121
comparison	5	2	"{""comparison"": 5}"	epub/ch04.md:130
deep class	5	5	"{""deep classes"": 2, ""deeper classes"": 2, ""Deep classes"": 1}"	epub/ch04.md:157
classitis	5	1	"{""classitis"": 4, ""Classitis"": 1}"	epub/ch04.md:160
library	5	3	"{""library"": 4, ""libraries"": 1}"	epub/ch04.md:166
specification	5	2	"{""specification"": 5}"	epub/ch04.md:202
item	5	3	"{""items"": 4, ""item"": 1}"	epub/ch05.md:43
different class	5	2	"{""different classes"": 5}"	epub/ch05.md:67
browser	5	2	"{""browsers"": 1, ""browser"": 4}"	epub/ch05.md:79
common mistake	5	4	"{""common mistake"": 5}"	epub/ch05.md:94
much information	5	3	"{""much information"": 5}"	epub/ch05.md:97
simpler interface	5	3	"{""simpler interface"": 5}"	epub/ch05.md:97
single method	5	3	"{""single method"": 5}"	epub/ch05.md:100
general-purpose approach	5	1	"{""general-purpose approach"": 5}"	epub/ch06.md:19
let's	5	4	"{""Let's"": 4, ""let's"": 1}"	epub/ch06.md:34
GUI text	5	5	"{""GUI text"": 5}"	epub/ch06.md:34
GUI text editor	5	5	"{""GUI text editor"": 5}"	epub/ch06.md:34
specific feature	5	2	"{""specific features"": 5}"	epub/ch06.md:40
right	5	3	"{""right"": 5}"	epub/ch06.md:40
text API	5	2	"{""text API"": 5}"	epub/ch06.md:91
separation	5	2	"{""separation"": 4, ""Separation"": 1}"	epub/ch06.md:106
editor project	5	4	"{""editor project"": 5}"	epub/ch06.md:142
forth	5	2	"{""forth"": 5}"	epub/ch06.md:148
text insertion	5	2	"{""text insertion"": 4, ""text insertions"": 1}"	epub/ch06.md:187
history list	5	1	"{""history list"": 5}"	epub/ch06.md:187
same signature	5	2	"{""same signature"": 5}"	epub/ch07.md:115
procedure	5	3	"{""procedure"": 5}"	epub/ch07.md:124
decorator class	5	1	"{""decorator classes"": 1, ""Decorator classes"": 1, ""decorator class"": 3}"	epub/ch07.md:136
character-oriented interface	5	3	"{""character-oriented interface"": 5}"	epub/ch07.md:163
datacenter	5	3	"{""datacenter"": 5}"	epub/ch07.md:169
network communication	5	4	"{""network communication"": 4, ""Network communication"": 1}"	epub/ch07.md:175
context object	5	1	"{""context object"": 5}"	epub/ch07.md:181
extra work	5	4	"{""extra work"": 5}"	epub/ch08.md:7
administrator	5	2	"{""administrator"": 3, ""administrators"": 2}"	epub/ch08.md:10
high level software	5	2	"{""higher level software"": 5}"	epub/ch08.md:19
level software	5	2	"{""level software"": 5}"	epub/ch08.md:19
retry	5	2	"{""retry"": 5}"	epub/ch08.md:34
exceptional condition	5	2	"{""exceptional conditions"": 2, ""exceptional condition"": 3}"	epub/ch08.md:37
network socket	5	4	"{""network socket"": 3, ""network sockets"": 2}"	epub/ch09.md:46
combined object	5	1	"{""combined object"": 5}"	epub/ch09.md:97
good idea	5	4	"{""good idea"": 4, ""better idea"": 1}"	epub/ch09.md:229
martin	5	2	"{""Martin"": 5}"	epub/ch09.md:247
client	5	2	"{""clients"": 2, ""client"": 3}"	epub/ch10.md:193
possibility	5	3	"{""possibility"": 4, ""possibilities"": 1}"	epub/ch10.md:199
exception aggregation	5	1	"{""exception aggregation"": 4, ""Exception aggregation"": 1}"	epub/ch10.md:211
none	5	3	"{""none"": 1, ""None"": 4}"	epub/ch11.md:31
system's design	5	4	"{""system's design"": 5}"	epub/ch12.md:7
new developer	5	3	"{""new developer"": 2, ""new developers"": 3}"	epub/ch12.md:73
long name	5	2	"{""long names"": 2, ""long name"": 1, ""longer names"": 2}"	epub/ch12.md:112
many thing	5	4	"{""many things"": 5}"	epub/ch13.md:7
side effect	5	1	"{""side effects"": 2, ""side effect"": 3}"	epub/ch13.md:28
effect	5	1	"{""effects"": 2, ""effect"": 3}"	epub/ch13.md:28
sentence	5	1	"{""sentence"": 5}"	epub/ch13.md:142
precision	5	2	"{""precision"": 4, ""Precision"": 1}"	epub/ch13.md:172
intuition	5	2	"{""intuition"": 3, ""intuitions"": 2}"	epub/ch13.md:172
short comment	5	3	"{""shorter comment"": 1, ""short comment"": 3, ""short comments"": 1}"	epub/ch13.md:697
x	5	4	"{""x"": 5}"	epub/ch13.md:856
physical block	5	1	"{""physical block"": 5}"	epub/ch14.md:16
commit message	5	1	"{""commit message"": 4, ""commit messages"": 1}"	epub/ch16.md:67
log	5	1	"{""log"": 5}"	epub/ch16.md:67
generic container	5	1	"{""Generic containers"": 2, ""generic containers"": 2, ""generic container"": 1}"	epub/ch18.md:241
hierarchy	5	1	"{""hierarchy"": 4, ""hierarchies"": 1}"	epub/ch19.md:25
last chunk	5	1	"{""last chunk"": 5}"	epub/ch20.md:100
award	5	1	"{""awards"": 1, ""Award"": 4}"	epub/summary.md:106
coverage	4	2	"{""coverage"": 4}"	epub/preface.md:4
paper	4	3	"{""paper"": 4}"	epub/preface.md:4
computer science	4	2	"{""computer science"": 1, ""Computer Science"": 3}"	epub/preface.md:7
productivity	4	3	"{""productivity"": 4}"	epub/preface.md:10
talent	4	3	"{""talent"": 3, ""Talent"": 1}"	epub/preface.md:10
many year	4	4	"{""many years"": 4}"	epub/preface.md:13
series	4	4	"{""series"": 4}"	epub/preface.md:13
software design class	4	4	"{""software design class"": 4}"	epub/preface.md:16
design class	4	4	"{""design class"": 4}"	epub/preface.md:16
abstract	4	3	"{""abstract"": 4}"	epub/preface.md:16
scripting language	4	4	"{""scripting language"": 4}"	epub/preface.md:19
large system	4	4	"{""large systems"": 3, ""Large systems"": 1}"	epub/preface.md:19
coding	4	4	"{""coding"": 4}"	epub/preface.md:22
bad idea	4	3	"{""bad ideas"": 1, ""bad idea"": 3}"	epub/preface.md:25
long run	4	3	"{""long run"": 4}"	epub/preface.md:25
run	4	3	"{""run"": 4}"	epub/preface.md:25
email	4	1	"{""email"": 4}"	epub/preface.md:28
overall goal	4	4	"{""overall goal"": 2, ""overall goals"": 2}"	epub/preface.md:40
ousterhout	4	2	"{""Ousterhout"": 4}"	epub/preface.md:43
limit	4	3	"{""limit"": 3, ""limits"": 1}"	epub/ch01.md:16
waterfall model	4	1	"{""waterfall model"": 4}"	epub/ch01.md:25
model	4	1	"{""model"": 4}"	epub/ch01.md:25
large software system	4	4	"{""large software system"": 2, ""large software systems"": 2}"	epub/ch01.md:28
major design	4	2	"{""major design"": 4}"	epub/ch01.md:28
incremental approach	4	3	"{""incremental approach"": 4}"	epub/ch01.md:31
software developer	4	2	"{""software developer"": 2, ""software developers"": 2}"	epub/ch01.md:37
nature	4	4	"{""nature"": 4}"	epub/ch01.md:43
unnecessary complexity	4	4	"{""unnecessary complexity"": 3, ""unnecessary complexities"": 1}"	epub/ch01.md:43
development process	4	4	"{""development process"": 4}"	epub/ch01.md:43
challenge	4	4	"{""challenge"": 4}"	epub/ch01.md:49
new design	4	3	"{""new design"": 4}"	epub/ch01.md:52
design idea	4	3	"{""design idea"": 1, ""design ideas"": 3}"	epub/ch01.md:58
domain	4	3	"{""domains"": 4}"	epub/ch01.md:61
subsystem	4	3	"{""subsystems"": 4}"	epub/ch01.md:61
philosophy	4	3	"{""philosophy"": 4}"	epub/ch02.md:10
different approach	4	4	"{""different approach"": 3, ""different approaches"": 1}"	epub/ch02.md:10
much impact	4	4	"{""much impact"": 4}"	epub/ch02.md:28
change amplification	4	3	"{""Change amplification"": 3, ""change amplification"": 1}"	epub/ch02.md:43
emphasis color	4	1	"{""emphasis color"": 4}"	epub/ch02.md:52
important goal	4	4	"{""important goals"": 1, ""important goal"": 3}"	epub/ch02.md:61
opposite	4	4	"{""opposite"": 4}"	epub/ch02.md:61
guess	4	3	"{""guess"": 3, ""guesses"": 1}"	epub/ch02.md:61
code cannot	4	4	"{""code cannot"": 4}"	epub/ch02.md:70
occurs	4	3	"{""occurs"": 4}"	epub/ch02.md:70
network protocol	4	4	"{""network protocols"": 1, ""network protocol"": 3}"	epub/ch02.md:70
sender	4	3	"{""sender"": 4}"	epub/ch02.md:70
new web	4	2	"{""new Web"": 4}"	epub/ch02.md:76
furthermore	4	3	"{""Furthermore"": 4}"	epub/ch02.md:76
little bit	4	4	"{""little bit"": 4}"	epub/ch02.md:94
deal	4	3	"{""deal"": 2, ""deals"": 2}"	epub/ch02.md:94
focus	4	3	"{""focus"": 4}"	epub/ch03.md:16
much time	4	4	"{""much time"": 4}"	epub/ch03.md:19
current task	4	1	"{""current task"": 4}"	epub/ch03.md:19
little extra time	4	3	"{""little extra time"": 4}"	epub/ch03.md:43
first idea	4	2	"{""first idea"": 3, ""first ideas"": 1}"	epub/ch03.md:43
measurement	4	2	"{""measurements"": 4}"	epub/ch03.md:55
debt	4	1	"{""debt"": 4}"	epub/ch03.md:61
you'll	4	3	"{""you'll"": 4}"	epub/ch03.md:61
other word	4	4	"{""other words"": 4}"	epub/ch03.md:64
new	4	4	"{""New"": 4}"	epub/ch03.md:79
week	4	4	"{""week"": 1, ""weeks"": 3}"	epub/ch03.md:79
same time	4	4	"{""same time"": 4}"	epub/ch03.md:88
it's easy	4	4	"{""it's easy"": 4}"	epub/ch03.md:100
node	4	2	"{""nodes"": 3, ""node"": 1}"	epub/ch04.md:22
public method	4	4	"{""public methods"": 4}"	epub/ch04.md:34
particular piece	4	4	"{""particular piece"": 4}"	epub/ch04.md:37
reality	4	4	"{""reality"": 3, ""realities"": 1}"	epub/ch04.md:52
new data	4	2	"{""new data"": 4}"	epub/ch04.md:55
much functionality	4	3	"{""much functionality"": 4}"	epub/ch04.md:61
edge	4	2	"{""edge"": 4}"	epub/ch04.md:67
good abstraction	4	3	"{""good abstraction"": 2, ""good abstractions"": 2}"	epub/ch04.md:67
system call	4	2	"{""system call"": 4}"	epub/ch04.md:91
new file	4	3	"{""new file"": 4}"	epub/ch04.md:91
secondary storage device	4	3	"{""secondary storage devices"": 3, ""secondary storage device"": 1}"	epub/ch04.md:115
more class	4	3	"{""more classes"": 4}"	epub/ch04.md:160
small class	4	2	"{""Small classes"": 2, ""small classes"": 1, ""smaller classes"": 1}"	epub/ch04.md:160
error-prone	4	3	"{""error-prone"": 4}"	epub/ch04.md:190
simple	4	4	"{""simple"": 4}"	epub/ch04.md:193
disk block	4	4	"{""disk block"": 2, ""disk blocks"": 2}"	epub/ch05.md:22
logical block	4	2	"{""logical block"": 4}"	epub/ch05.md:22
new module	4	4	"{""new module"": 3, ""new modules"": 1}"	epub/ch05.md:40
more information	4	4	"{""more information"": 4}"	epub/ch05.md:40
getter	4	2	"{""getter"": 4}"	epub/ch05.md:43
good information	4	2	"{""better information"": 4}"	epub/ch05.md:52
good information hiding	4	2	"{""better information hiding"": 4}"	epub/ch05.md:52
content	4	3	"{""contents"": 4}"	epub/ch05.md:61
multiple place	4	3	"{""multiple places"": 4}"	epub/ch05.md:67
stage	4	3	"{""stages"": 3, ""stage"": 1}"	epub/ch05.md:70
sample	4	3	"{""sample"": 4}"	epub/ch05.md:79
code structure	4	4	"{""code structure"": 4}"	epub/ch05.md:85
distinction	4	3	"{""distinction"": 4}"	epub/ch05.md:112
additional method	4	4	"{""Additional methods"": 1, ""additional methods"": 2, ""additional method"": 1}"	epub/ch05.md:139
normal case	4	4	"{""normal case"": 3, ""normal cases"": 1}"	epub/ch05.md:148
private method	4	2	"{""private methods"": 4}"	epub/ch05.md:163
facility	4	2	"{""facilities"": 4}"	epub/ch06.md:22
current need	4	1	"{""current needs"": 4}"	epub/ch06.md:28
first method	4	2	"{""first method"": 4}"	epub/ch06.md:73
specific	4	3	"{""specifics"": 3, ""specific"": 1}"	epub/ch06.md:106
additional code	4	3	"{""additional code"": 4}"	epub/ch06.md:124
stack	4	3	"{""stack"": 4}"	epub/ch06.md:130
upwards	4	3	"{""upwards"": 4}"	epub/ch06.md:133
undo redo	4	1	"{""undo redo"": 4}"	epub/ch06.md:142
