english	preferred_zh	en_count	en_files	en_forms	en_locations	zh_count	zh_files	zh_variants	zh_locations
method	方法	80	12	"{""methods"": 39, ""method"": 38, ""Methods"": 2, ""Method"": 1}"	docs/en/README.md:9; docs/en/ch01.md:38; docs/en/ch04.md:23; docs/en/ch06.md:5; docs/en/ch06.md:23; docs/en/ch06.md:27; docs/en/ch06.md:35; docs/en/ch06.md:41; docs/en/ch06.md:43; docs/en/ch06.md:47; docs/en/ch06.md:55; docs/en/ch06.md:61; docs/en/ch06.md:73; docs/en/ch06.md:75; docs/en/ch06.md:81; docs/en/ch06.md:85; docs/en/ch06.md:87; docs/en/ch06.md:93; docs/en/ch06.md:95; docs/en/ch06.md:111; docs/en/ch06.md:113; docs/en/ch06.md:133; docs/en/ch06.md:153; docs/en/ch06.md:163; docs/en/ch07.md:3; docs/en/ch07.md:24; docs/en/ch09.md:3; docs/en/ch09.md:9; docs/en/ch11.md:5; docs/en/ch12.md:34; docs/en/ch12.md:36; docs/en/ch13.md:7; docs/en/ch14.md:3; docs/en/ch21.md:5; docs/en/ch21.md:11; docs/en/ch21.md:23; docs/en/ch21.md:31; docs/en/summary.md:28; docs/en/summary.md:32; docs/en/summary.md:35; docs/en/summary.md:38; docs/en/summary.md:40	732	25	"{""方法"": 732}"	docs/README.md:5; docs/preface.md:9; docs/preface.md:13; docs/preface.md:17; docs/preface.md:19; docs/preface.md:27; docs/ch01.md:7; docs/ch01.md:9; docs/ch01.md:11; docs/ch01.md:13; docs/ch01.md:17; docs/ch01.md:19; docs/ch01.md:25; docs/ch01.md:31; docs/ch01.md:33; docs/ch01.md:35; docs/ch01.md:37; docs/ch02.md:5; docs/ch02.md:17; docs/ch02.md:29; docs/ch02.md:31; docs/ch02.md:33; docs/ch02.md:41; docs/ch02.md:49; docs/ch02.md:55; docs/ch02.md:57; docs/ch02.md:65; docs/ch03.md:4; docs/ch03.md:8; docs/ch03.md:32; docs/ch03.md:36; docs/ch03.md:38; docs/ch03.md:42; docs/ch03.md:46; docs/ch03.md:48; docs/ch03.md:50; docs/ch03.md:54; docs/ch03.md:58; docs/ch03.md:60; docs/ch03.md:66; docs/ch04.md:3; docs/ch04.md:9; docs/ch04.md:15; docs/ch04.md:21; docs/ch04.md:23; docs/ch04.md:81; docs/ch04.md:89; docs/ch04.md:97; docs/ch04.md:115; docs/ch04.md:123; docs/ch05.md:23; docs/ch05.md:25; docs/ch05.md:31; docs/ch05.md:45; docs/ch05.md:59; docs/ch05.md:61; docs/ch05.md:63; docs/ch05.md:73; docs/ch05.md:81; docs/ch05.md:91; docs/ch05.md:97; docs/ch05.md:107; docs/ch06.md:5; docs/ch06.md:15; docs/ch06.md:23; docs/ch06.md:25; docs/ch06.md:33; docs/ch06.md:39; docs/ch06.md:41; docs/ch06.md:45; docs/ch06.md:53; docs/ch06.md:59; docs/ch06.md:71; docs/ch06.md:73; docs/ch06.md:79; docs/ch06.md:83; docs/ch06.md:85; docs/ch06.md:91; docs/ch06.md:93; docs/ch06.md:95; docs/ch06.md:109; docs/ch06.md:111; docs/ch06.md:131; docs/ch06.md:137; docs/ch06.md:151; docs/ch06.md:153; docs/ch06.md:155; docs/ch06.md:161; docs/ch07.md:3; docs/ch07.md:12; docs/ch07.md:38; docs/ch07.md:40; docs/ch07.md:42; docs/ch07.md:44; docs/ch07.md:46; docs/ch07.md:48; docs/ch07.md:52; docs/ch07.md:54; docs/ch07.md:58; docs/ch07.md:60; docs/ch07.md:62; docs/ch07.md:64; docs/ch07.md:68; docs/ch07.md:70; docs/ch07.md:72; docs/ch07.md:83; docs/ch07.md:85; docs/ch07.md:89; docs/ch07.md:91; docs/ch07.md:93; docs/ch07.md:95; docs/ch07.md:101; docs/ch07.md:103; docs/ch07.md:107; docs/ch07.md:113; docs/ch08.md:5; docs/ch08.md:7; docs/ch08.md:11; docs/ch08.md:13; docs/ch08.md:21; docs/ch08.md:27; docs/ch08.md:29; docs/ch09.md:3; docs/ch09.md:5; docs/ch09.md:9; docs/ch09.md:23; docs/ch09.md:27; docs/ch09.md:29; docs/ch09.md:33; docs/ch09.md:35; docs/ch09.md:105; docs/ch09.md:113; docs/ch09.md:117; docs/ch09.md:119; docs/ch09.md:140; docs/ch09.md:163; docs/ch09.md:165; docs/ch09.md:167; docs/ch09.md:171; docs/ch09.md:173; docs/ch09.md:175; docs/ch09.md:177; docs/ch09.md:179; docs/ch09.md:183; docs/ch09.md:185; docs/ch09.md:187; docs/ch09.md:189; docs/ch09.md:191; docs/ch09.md:193; docs/ch10.md:7; docs/ch10.md:12; docs/ch10.md:18; docs/ch10.md:20; docs/ch10.md:52; docs/ch10.md:60; docs/ch10.md:62; docs/ch10.md:64; docs/ch10.md:66; docs/ch10.md:70; docs/ch10.md:78; docs/ch10.md:84; docs/ch10.md:86; docs/ch10.md:88; docs/ch10.md:90; docs/ch10.md:94; docs/ch10.md:100; docs/ch10.md:108; docs/ch10.md:114; docs/ch10.md:116; docs/ch10.md:120; docs/ch10.md:122; docs/ch10.md:124; docs/ch10.md:128; docs/ch10.md:132; docs/ch10.md:146; docs/ch10.md:156; docs/ch10.md:164; docs/ch11.md:5; docs/ch11.md:7; docs/ch11.md:13; docs/ch11.md:17; docs/ch11.md:19; docs/ch11.md:27; docs/ch12.md:20; docs/ch12.md:22; docs/ch12.md:24; docs/ch12.md:32; docs/ch12.md:66; docs/ch12.md:68; docs/ch13.md:7; docs/ch13.md:19; docs/ch13.md:23; docs/ch13.md:27; docs/ch13.md:88; docs/ch13.md:108; docs/ch13.md:172; docs/ch13.md:204; docs/ch13.md:230; docs/ch13.md:234; docs/ch13.md:236; docs/ch13.md:252; docs/ch13.md:254; docs/ch13.md:256; docs/ch13.md:258; docs/ch13.md:259; docs/ch13.md:260; docs/ch13.md:262; docs/ch13.md:289; docs/ch13.md:306; docs/ch13.md:370; docs/ch13.md:374; docs/ch13.md:376; docs/ch13.md:396; docs/ch13.md:413; docs/ch13.md:417; docs/ch13.md:419; docs/ch13.md:437; docs/ch13.md:480; docs/ch13.md:509; docs/ch14.md:3; docs/ch14.md:23; docs/ch14.md:32; docs/ch14.md:36; docs/ch14.md:69; docs/ch14.md:83; docs/ch14.md:89; docs/ch14.md:95; docs/ch14.md:103; docs/ch15.md:4; docs/ch15.md:10; docs/ch15.md:16; docs/ch15.md:19; docs/ch15.md:22; docs/ch15.md:23; docs/ch15.md:27; docs/ch15.md:31; docs/ch15.md:33; docs/ch15.md:37; docs/ch15.md:39; docs/ch15.md:43; docs/ch15.md:49; docs/ch16.md:7; docs/ch16.md:11; docs/ch16.md:15; docs/ch16.md:17; docs/ch16.md:23; docs/ch16.md:25; docs/ch16.md:27; docs/ch16.md:52; docs/ch16.md:54; docs/ch16.md:64; docs/ch17.md:17; docs/ch17.md:29; docs/ch17.md:37; docs/ch17.md:39; docs/ch17.md:43; docs/ch18.md:3; docs/ch18.md:7; docs/ch18.md:51; docs/ch18.md:81; docs/ch18.md:97; docs/ch18.md:117; docs/ch18.md:154; docs/ch19.md:7; docs/ch19.md:9; docs/ch19.md:13; docs/ch19.md:15; docs/ch19.md:17; docs/ch19.md:19; docs/ch19.md:25; docs/ch19.md:27; docs/ch19.md:35; docs/ch19.md:39; docs/ch19.md:45; docs/ch19.md:51; docs/ch19.md:55; docs/ch19.md:57; docs/ch19.md:59; docs/ch19.md:63; docs/ch19.md:65; docs/ch19.md:67; docs/ch20.md:9; docs/ch20.md:16; docs/ch20.md:18; docs/ch20.md:20; docs/ch20.md:22; docs/ch20.md:26; docs/ch20.md:36; docs/ch20.md:38; docs/ch20.md:40; docs/ch20.md:42; docs/ch20.md:44; docs/ch20.md:62; docs/ch20.md:64; docs/ch20.md:113; docs/ch20.md:117; docs/ch20.md:138; docs/ch21.md:5; docs/ch21.md:11; docs/ch21.md:23; docs/ch21.md:31; docs/ch21.md:37; docs/ch22.md:7; docs/ch22.md:9; docs/summary.md:28; docs/summary.md:32; docs/summary.md:35; docs/summary.md:38; docs/summary.md:40
function	函数	25	5	"{""functions"": 17, ""function"": 8}"	docs/en/ch01.md:38; docs/en/ch04.md:23; docs/en/ch06.md:73; docs/en/ch06.md:85; docs/en/ch06.md:149; docs/en/ch07.md:22; docs/en/ch09.md:3; docs/en/ch09.md:37; docs/en/ch09.md:39; docs/en/ch09.md:41	197	21	"{""函数"": 44, ""功能"": 153}"	docs/preface.md:3; docs/ch01.md:5; docs/ch01.md:7; docs/ch01.md:17; docs/ch01.md:37; docs/ch02.md:15; docs/ch02.md:31; docs/ch02.md:69; docs/ch03.md:4; docs/ch03.md:8; docs/ch03.md:14; docs/ch03.md:18; docs/ch04.md:9; docs/ch04.md:15; docs/ch04.md:23; docs/ch04.md:31; docs/ch04.md:41; docs/ch04.md:45; docs/ch04.md:47; docs/ch04.md:66; docs/ch04.md:79; docs/ch04.md:89; docs/ch04.md:93; docs/ch04.md:99; docs/ch04.md:113; docs/ch04.md:115; docs/ch04.md:117; docs/ch04.md:121; docs/ch04.md:123; docs/ch05.md:19; docs/ch05.md:63; docs/ch05.md:99; docs/ch05.md:115; docs/ch06.md:13; docs/ch06.md:17; docs/ch06.md:25; docs/ch06.md:39; docs/ch06.md:45; docs/ch06.md:71; docs/ch06.md:73; docs/ch06.md:83; docs/ch06.md:91; docs/ch06.md:95; docs/ch06.md:99; docs/ch06.md:101; docs/ch06.md:103; docs/ch06.md:111; docs/ch06.md:113; docs/ch06.md:137; docs/ch06.md:147; docs/ch07.md:3; docs/ch07.md:44; docs/ch07.md:46; docs/ch07.md:48; docs/ch07.md:52; docs/ch07.md:58; docs/ch07.md:60; docs/ch07.md:64; docs/ch07.md:68; docs/ch07.md:70; docs/ch07.md:74; docs/ch07.md:75; docs/ch07.md:76; docs/ch07.md:77; docs/ch07.md:85; docs/ch07.md:103; docs/ch07.md:105; docs/ch07.md:111; docs/ch07.md:113; docs/ch08.md:3; docs/ch08.md:27; docs/ch08.md:29; docs/ch09.md:3; docs/ch09.md:29; docs/ch09.md:175; docs/ch09.md:183; docs/ch09.md:185; docs/ch09.md:197; docs/ch09.md:199; docs/ch09.md:201; docs/ch10.md:86; docs/ch10.md:102; docs/ch10.md:120; docs/ch10.md:124; docs/ch10.md:142; docs/ch11.md:5; docs/ch12.md:28; docs/ch13.md:19; docs/ch13.md:23; docs/ch13.md:200; docs/ch13.md:230; docs/ch13.md:252; docs/ch13.md:311; docs/ch13.md:522; docs/ch15.md:10; docs/ch15.md:33; docs/ch16.md:3; docs/ch16.md:9; docs/ch18.md:97; docs/ch18.md:99; docs/ch18.md:101; docs/ch18.md:148; docs/ch18.md:152; docs/ch19.md:17; docs/ch19.md:27; docs/ch19.md:29; docs/ch19.md:31; docs/ch19.md:39; docs/ch19.md:45; docs/ch19.md:47; docs/ch19.md:49; docs/ch19.md:65; docs/ch19.md:67; docs/ch21.md:33; docs/ch22.md:9; docs/summary.md:21; docs/summary.md:31
bug	缺陷／代码缺陷	10	9	"{""bugs"": 10}"	docs/en/preface.md:23; docs/en/ch01.md:6; docs/en/ch06.md:153; docs/en/ch09.md:9; docs/en/ch10.md:25; docs/en/ch14.md:3; docs/en/ch14.md:17; docs/en/ch17.md:15; docs/en/ch18.md:5; docs/en/ch22.md:11	56	15	"{""缺陷"": 30, ""代码缺陷"": 26}"	docs/preface.md:23; docs/ch01.md:5; docs/ch02.md:11; docs/ch02.md:41; docs/ch06.md:151; docs/ch09.md:9; docs/ch10.md:14; docs/ch10.md:54; docs/ch10.md:60; docs/ch10.md:88; docs/ch10.md:90; docs/ch10.md:132; docs/ch10.md:144; docs/ch10.md:150; docs/ch10.md:164; docs/ch12.md:44; docs/ch13.md:435; docs/ch13.md:441; docs/ch14.md:3; docs/ch14.md:7; docs/ch14.md:9; docs/ch14.md:23; docs/ch14.md:101; docs/ch14.md:163; docs/ch15.md:10; docs/ch16.md:9; docs/ch16.md:13; docs/ch16.md:44; docs/ch17.md:47; docs/ch18.md:5; docs/ch19.md:39; docs/ch19.md:41; docs/ch19.md:51; docs/ch22.md:11
error	错误	8	7	"{""errors"": 5, ""error"": 3}"	docs/en/preface.md:11; docs/en/ch01.md:26; docs/en/ch10.md:25; docs/en/ch13.md:5; docs/en/ch14.md:3; docs/en/ch22.md:3; docs/en/summary.md:17	130	19	"{""错误"": 130}"	docs/preface.md:11; docs/preface.md:15; docs/ch01.md:25; docs/ch02.md:31; docs/ch02.md:53; docs/ch02.md:55; docs/ch02.md:63; docs/ch03.md:8; docs/ch03.md:28; docs/ch04.md:33; docs/ch04.md:99; docs/ch05.md:59; docs/ch05.md:95; docs/ch05.md:117; docs/ch06.md:85; docs/ch07.md:6; docs/ch09.md:35; docs/ch09.md:129; docs/ch09.md:140; docs/ch09.md:163; docs/ch09.md:167; docs/ch10.md:11; docs/ch10.md:18; docs/ch10.md:54; docs/ch10.md:58; docs/ch10.md:60; docs/ch10.md:70; docs/ch10.md:74; docs/ch10.md:78; docs/ch10.md:86; docs/ch10.md:88; docs/ch10.md:98; docs/ch10.md:100; docs/ch10.md:110; docs/ch10.md:116; docs/ch10.md:122; docs/ch10.md:124; docs/ch10.md:130; docs/ch10.md:132; docs/ch10.md:134; docs/ch10.md:140; docs/ch10.md:142; docs/ch10.md:144; docs/ch10.md:146; docs/ch10.md:148; docs/ch10.md:150; docs/ch10.md:152; docs/ch10.md:156; docs/ch10.md:158; docs/ch10.md:164; docs/ch12.md:70; docs/ch13.md:67; docs/ch13.md:289; docs/ch13.md:396; docs/ch13.md:443; docs/ch14.md:3; docs/ch14.md:7; docs/ch14.md:11; docs/ch14.md:13; docs/ch14.md:101; docs/ch14.md:109; docs/ch14.md:155; docs/ch16.md:42; docs/ch17.md:5; docs/ch17.md:13; docs/ch19.md:39; docs/ch19.md:41; docs/ch21.md:15; docs/ch21.md:31; docs/ch21.md:33; docs/ch22.md:3; docs/summary.md:17
exception	异常	13	5	"{""exceptions"": 8, ""exception"": 4, ""Exception"": 1}"	docs/en/ch01.md:36; docs/en/ch06.md:159; docs/en/ch08.md:5; docs/en/ch08.md:7; docs/en/ch10.md:3; docs/en/ch10.md:25; docs/en/ch21.md:19	158	8	"{""异常"": 158}"	docs/ch04.md:21; docs/ch05.md:91; docs/ch06.md:157; docs/ch08.md:5; docs/ch08.md:7; docs/ch10.md:3; docs/ch10.md:7; docs/ch10.md:9; docs/ch10.md:16; docs/ch10.md:18; docs/ch10.md:20; docs/ch10.md:22; docs/ch10.md:52; docs/ch10.md:54; docs/ch10.md:58; docs/ch10.md:62; docs/ch10.md:64; docs/ch10.md:66; docs/ch10.md:70; docs/ch10.md:78; docs/ch10.md:84; docs/ch10.md:86; docs/ch10.md:88; docs/ch10.md:94; docs/ch10.md:96; docs/ch10.md:98; docs/ch10.md:102; docs/ch10.md:106; docs/ch10.md:108; docs/ch10.md:110; docs/ch10.md:114; docs/ch10.md:116; docs/ch10.md:120; docs/ch10.md:122; docs/ch10.md:124; docs/ch10.md:126; docs/ch10.md:128; docs/ch10.md:130; docs/ch10.md:136; docs/ch10.md:140; docs/ch10.md:148; docs/ch10.md:156; docs/ch10.md:158; docs/ch10.md:160; docs/ch10.md:164; docs/ch13.md:19; docs/ch13.md:259; docs/ch13.md:443; docs/ch20.md:26; docs/ch21.md:19
exception handling	异常处理	2	1	"{""Exception handling"": 1, ""exception handling"": 1}"	docs/en/ch10.md:3	30	1	"{""异常处理"": 30}"	docs/ch10.md:3; docs/ch10.md:16; docs/ch10.md:18; docs/ch10.md:20; docs/ch10.md:22; docs/ch10.md:52; docs/ch10.md:54; docs/ch10.md:58; docs/ch10.md:66; docs/ch10.md:70; docs/ch10.md:110; docs/ch10.md:114; docs/ch10.md:120; docs/ch10.md:122; docs/ch10.md:124; docs/ch10.md:126; docs/ch10.md:128; docs/ch10.md:140; docs/ch10.md:148
mask exceptions	屏蔽异常	1	1	"{""mask them"": 1}"	docs/en/ch10.md:25	10	1	"{""异常屏蔽"": 8, ""屏蔽异常"": 2}"	docs/ch10.md:94; docs/ch10.md:96; docs/ch10.md:102; docs/ch10.md:128
exception aggregation	异常聚合	1	1	"{""aggregate several special-case handlers"": 1}"	docs/en/ch10.md:25	9	1	"{""异常聚合"": 7, ""聚合异常"": 2}"	docs/ch10.md:106; docs/ch10.md:116; docs/ch10.md:122; docs/ch10.md:124; docs/ch10.md:128; docs/ch10.md:130; docs/ch10.md:136
handler	处理程序／处理函数	4	2	"{""handlers"": 3, ""handler"": 1}"	docs/en/ch06.md:113; docs/en/ch10.md:25	24	4	"{""处理程序"": 12, ""异常处理程序"": 10, ""处理函数"": 2}"	docs/ch04.md:66; docs/ch06.md:111; docs/ch10.md:66; docs/ch10.md:106; docs/ch10.md:110; docs/ch10.md:114; docs/ch10.md:116; docs/ch10.md:120; docs/ch10.md:122; docs/ch10.md:124; docs/ch10.md:128; docs/ch10.md:148; docs/ch10.md:164; docs/ch18.md:99; docs/ch18.md:101
pass-through	透传	3	2	"{""pass-through"": 2, ""Pass-Through"": 1}"	docs/en/ch07.md:24; docs/en/summary.md:32	29	3	"{""透传"": 28, ""传递变量"": 1}"	docs/ch07.md:12; docs/ch07.md:38; docs/ch07.md:40; docs/ch07.md:42; docs/ch07.md:44; docs/ch07.md:46; docs/ch07.md:52; docs/ch07.md:54; docs/ch07.md:58; docs/ch07.md:70; docs/ch07.md:89; docs/ch07.md:91; docs/ch07.md:93; docs/ch07.md:97; docs/ch07.md:101; docs/ch07.md:103; docs/ch07.md:105; docs/ch07.md:113; docs/ch20.md:113; docs/summary.md:32
temporal decomposition	时间顺序分解（简称时间分解）	2	2	"{""temporal decomposition"": 1, ""Temporal Decomposition"": 1}"	docs/en/ch05.md:27; docs/en/summary.md:30	10	2	"{""时间顺序分解"": 8, ""时间分解"": 2}"	docs/ch05.md:39; docs/ch05.md:43; docs/ch05.md:45; docs/ch05.md:59; docs/ch05.md:117; docs/summary.md:30
conjoined methods/functions	连体方法／连体函数	2	2	"{""conjoined functions"": 1, ""Conjoined Methods"": 1}"	docs/en/ch09.md:41; docs/en/summary.md:35	4	2	"{""连体方法"": 3, ""连体函数"": 1}"	docs/ch09.md:179; docs/ch09.md:191; docs/ch09.md:201; docs/summary.md:35
red flag	危险信号	14	7	"{""red flags"": 8, ""red flag"": 6}"	docs/en/README.md:9; docs/en/ch01.md:32; docs/en/ch01.md:34; docs/en/ch06.md:95; docs/en/ch06.md:97; docs/en/ch07.md:8; docs/en/ch11.md:17; docs/en/ch22.md:3; docs/en/summary.md:26	44	16	"{""危险信号"": 44}"	docs/README.md:5; docs/ch01.md:31; docs/ch01.md:33; docs/ch02.md:57; docs/ch04.md:91; docs/ch05.md:31; docs/ch05.md:33; docs/ch05.md:43; docs/ch05.md:101; docs/ch06.md:93; docs/ch06.md:95; docs/ch07.md:8; docs/ch07.md:40; docs/ch09.md:107; docs/ch09.md:109; docs/ch09.md:123; docs/ch09.md:125; docs/ch09.md:179; docs/ch09.md:191; docs/ch09.md:193; docs/ch11.md:17; docs/ch13.md:84; docs/ch13.md:372; docs/ch13.md:374; docs/ch14.md:34; docs/ch14.md:91; docs/ch14.md:93; docs/ch15.md:33; docs/ch15.md:35; docs/ch18.md:113; docs/ch18.md:115; docs/ch20.md:113; docs/ch22.md:3; docs/summary.md:26
obvious	易理解／显而易见	40	9	"{""obvious"": 36, ""Obvious"": 2, ""obviousness"": 2}"	docs/en/ch01.md:10; docs/en/ch06.md:73; docs/en/ch06.md:87; docs/en/ch06.md:163; docs/en/ch13.md:3; docs/en/ch13.md:5; docs/en/ch13.md:7; docs/en/ch13.md:27; docs/en/ch13.md:29; docs/en/ch14.md:17; docs/en/ch17.md:3; docs/en/ch17.md:15; docs/en/ch18.md:3; docs/en/ch18.md:5; docs/en/ch18.md:7; docs/en/ch18.md:15; docs/en/ch18.md:17; docs/en/ch21.md:3; docs/en/ch21.md:5; docs/en/ch21.md:15; docs/en/ch22.md:7; docs/en/summary.md:19; docs/en/summary.md:36	82	19	"{""易理解"": 35, ""明显"": 38, ""显而易见"": 5, ""易于理解"": 4}"	docs/ch01.md:9; docs/ch01.md:15; docs/ch02.md:11; docs/ch02.md:23; docs/ch02.md:39; docs/ch02.md:43; docs/ch02.md:51; docs/ch02.md:53; docs/ch02.md:55; docs/ch03.md:28; docs/ch03.md:56; docs/ch04.md:123; docs/ch06.md:3; docs/ch06.md:71; docs/ch06.md:85; docs/ch07.md:107; docs/ch09.md:201; docs/ch10.md:52; docs/ch11.md:21; docs/ch13.md:5; docs/ch13.md:13; docs/ch13.md:27; docs/ch13.md:44; docs/ch13.md:65; docs/ch13.md:86; docs/ch13.md:353; docs/ch13.md:370; docs/ch13.md:419; docs/ch13.md:433; docs/ch13.md:435; docs/ch13.md:443; docs/ch13.md:478; docs/ch13.md:513; docs/ch14.md:3; docs/ch14.md:73; docs/ch14.md:81; docs/ch14.md:113; docs/ch14.md:157; docs/ch14.md:163; docs/ch15.md:12; docs/ch16.md:48; docs/ch16.md:50; docs/ch17.md:3; docs/ch17.md:15; docs/ch17.md:17; docs/ch17.md:47; docs/ch18.md:3; docs/ch18.md:5; docs/ch18.md:7; docs/ch18.md:11; docs/ch18.md:13; docs/ch18.md:127; docs/ch18.md:148; docs/ch18.md:152; docs/ch18.md:154; docs/ch19.md:47; docs/ch21.md:3; docs/ch21.md:5; docs/ch21.md:15; docs/ch22.md:7; docs/summary.md:36
comments not obvious from code	注释应描述从代码中看不出的信息	4	2	"{""things that aren’t obvious from the code"": 3, ""things that are not obvious from the code"": 1}"	docs/en/ch13.md:3; docs/en/ch13.md:5; docs/en/ch13.md:29; docs/en/summary.md:19	4	2	"{""代码中难以理解的内容"": 4}"	docs/ch13.md:3; docs/ch13.md:116; docs/ch13.md:515; docs/summary.md:19
interface documentation	接口文档	4	4	"{""interface comment"": 2, ""interface documentation"": 2}"	docs/en/ch12.md:36; docs/en/ch21.md:23; docs/en/ch22.md:3; docs/en/summary.md:37	44	8	"{""接口注释"": 38, ""接口文档"": 6}"	docs/ch12.md:68; docs/ch13.md:27; docs/ch13.md:172; docs/ch13.md:236; docs/ch13.md:238; docs/ch13.md:254; docs/ch13.md:258; docs/ch13.md:259; docs/ch13.md:262; docs/ch13.md:289; docs/ch13.md:308; docs/ch13.md:316; docs/ch13.md:370; docs/ch13.md:374; docs/ch13.md:396; docs/ch13.md:417; docs/ch13.md:419; docs/ch13.md:525; docs/ch15.md:18; docs/ch15.md:19; docs/ch15.md:23; docs/ch15.md:27; docs/ch15.md:33; docs/ch15.md:39; docs/ch16.md:23; docs/ch16.md:25; docs/ch16.md:52; docs/ch16.md:54; docs/ch18.md:101; docs/ch18.md:148; docs/ch21.md:23; docs/ch22.md:3; docs/summary.md:37
implementation documentation	实现文档	2	2	"{""implementation documentation"": 1, ""Implementation Documentation"": 1}"	docs/en/ch22.md:3; docs/en/summary.md:37	14	5	"{""实现注释"": 10, ""实现文档"": 4}"	docs/ch13.md:23; docs/ch13.md:236; docs/ch13.md:372; docs/ch13.md:396; docs/ch13.md:417; docs/ch13.md:419; docs/ch13.md:435; docs/ch15.md:22; docs/ch16.md:27; docs/ch22.md:3; docs/summary.md:37
self-documenting	自解释的	1	1	"{""self-documenting"": 1}"	docs/en/ch12.md:11	1	1	"{""自解释"": 1}"	docs/ch12.md:11
consistency	一致性	6	1	"{""Consistency"": 5, ""consistency"": 1}"	docs/en/ch17.md:3; docs/en/ch17.md:5; docs/en/ch17.md:15	23	7	"{""一致性"": 23}"	docs/ch02.md:55; docs/ch10.md:18; docs/ch13.md:15; docs/ch14.md:23; docs/ch14.md:99; docs/ch14.md:101; docs/ch14.md:105; docs/ch16.md:50; docs/ch17.md:3; docs/ch17.md:5; docs/ch17.md:9; docs/ch17.md:15; docs/ch17.md:23; docs/ch17.md:39; docs/ch17.md:43; docs/ch17.md:47; docs/ch18.md:11
invariant	不变量	2	1	"{""invariant"": 2}"	docs/en/ch21.md:11	7	3	"{""不变量"": 7}"	docs/ch13.md:114; docs/ch17.md:19; docs/ch17.md:27; docs/ch21.md:11
leverage	以少量知识或机制解决更多问题	5	3	"{""cognitive leverage"": 1, ""leverage"": 3, ""leverage point"": 1}"	docs/en/ch17.md:3; docs/en/ch19.md:3; docs/en/ch21.md:11	4	2	"{""认知杠杆"": 1, ""杠杆点"": 2, ""杠杆"": 1}"	docs/ch17.md:3; docs/ch21.md:11
selection	选区／所选区域	30	2	"{""selection"": 29, ""Selection"": 1}"	docs/en/ch06.md:35; docs/en/ch06.md:43; docs/en/ch06.md:109; docs/en/ch06.md:111; docs/en/ch06.md:113; docs/en/ch06.md:135; docs/en/ch06.md:155; docs/en/ch06.md:157; docs/en/ch11.md:9	30	4	"{""选择的区域"": 4, ""区域选择"": 15, ""所选内容"": 4, ""所选区域"": 7}"	docs/ch06.md:33; docs/ch06.md:41; docs/ch06.md:107; docs/ch06.md:109; docs/ch06.md:111; docs/ch06.md:153; docs/ch06.md:155; docs/ch08.md:11; docs/ch09.md:115; docs/ch09.md:117; docs/ch09.md:119; docs/ch09.md:121; docs/ch11.md:9
undo/redo	撤销／重做	45	1	"{""undo"": 29, ""redo"": 14, ""undos"": 1, ""redos"": 1}"	docs/en/ch06.md:21; docs/en/ch06.md:109; docs/en/ch06.md:111; docs/en/ch06.md:113; docs/en/ch06.md:115; docs/en/ch06.md:133; docs/en/ch06.md:137; docs/en/ch06.md:139; docs/en/ch06.md:141; docs/en/ch06.md:147; docs/en/ch06.md:149	54	4	"{""撤销"": 9, ""重做"": 14, ""撤消"": 31}"	docs/ch06.md:21; docs/ch06.md:107; docs/ch06.md:109; docs/ch06.md:111; docs/ch06.md:113; docs/ch06.md:131; docs/ch06.md:133; docs/ch06.md:135; docs/ch06.md:137; docs/ch06.md:139; docs/ch06.md:143; docs/ch06.md:145; docs/ch06.md:147; docs/ch10.md:18; docs/ch16.md:44; docs/ch20.md:32
line-oriented	面向行	4	1	"{""line-oriented"": 4}"	docs/en/ch11.md:5; docs/en/ch11.md:9; docs/en/ch11.md:17	8	3	"{""面向行"": 8}"	docs/ch07.md:83; docs/ch07.md:85; docs/ch08.md:11; docs/ch11.md:5; docs/ch11.md:9; docs/ch11.md:17
character-oriented	面向字符	4	1	"{""character-oriented"": 4}"	docs/en/ch11.md:9; docs/en/ch11.md:13; docs/en/ch11.md:17	9	3	"{""面向字符"": 9}"	docs/ch07.md:85; docs/ch08.md:13; docs/ch11.md:5; docs/ch11.md:9; docs/ch11.md:13; docs/ch11.md:17
string-oriented	面向字符串	1	1	"{""string-oriented"": 1}"	docs/en/ch11.md:5	1	1	"{""面向字符串"": 1}"	docs/ch11.md:5
range-oriented	面向范围	1	1	"{""range-oriented"": 1}"	docs/en/ch11.md:17	1	1	"{""面向范围"": 1}"	docs/ch11.md:17
gap buffer	间隙缓冲区	1	1	"{""gap buffer"": 1}"	docs/en/ch11.md:19	1	1	"{""间隙缓冲区"": 1}"	docs/ch11.md:19
configuration parameter	配置参数	3	2	"{""configuration parameters"": 2, ""configuration parameter"": 1}"	docs/en/ch08.md:5; docs/en/ch08.md:7; docs/en/ch21.md:19	20	5	"{""配置参数"": 19, ""配置选项"": 1}"	docs/ch05.md:111; docs/ch07.md:97; docs/ch08.md:5; docs/ch08.md:7; docs/ch08.md:17; docs/ch08.md:19; docs/ch08.md:21; docs/ch08.md:23; docs/ch13.md:352; docs/ch21.md:19
